id,lang_bg,lang_cs,lang_de,lang_el,lang_en,lang_es,lang_et,lang_fr,lang_hr,lang_hu,lang_it,lang_lt,lang_lv,lang_nl,lang_pl,lang_ro,lang_sk,lang_sl,name
772703de-96cb-4f08-be5b-3fbf1bea855c,Warranty claim,Reklamace,Reklamation,Αξίωση εγγύησης,Warranty claim,Reclamación de garantía,Garantiinõue,Réclamations de garantie,Jamstveni zahtjev,Megrendelés reklamációja,Reclamo,Garantijos paraiška,Garantijas pieprasījums,Garantieclaim,Reklamacja,Reclamație,Reklamácia,Garancijski zahtevek,Reklamace
1c8ec1cc-9792-432e-8d48-7c9442a3a92d,Return,Odstoupení od smlouvy,Warenrückgabe,Return,Return,Devolución,Return,Le retour,Povrat robe,Megrendelés visszaküldése,Restituzione,Return,Return,Return,Zwrot towaru,Retururi,Vrátenie tovaru,Return,Odstoupení od smlouvy
81d937ce-9223-4e8e-af7d-de48cc81e91e,Supplier complaint,Supplier complaint,Supplier complaint,Supplier complaint,Supplier complaint,Supplier complaint,Supplier complaint,Supplier complaint,Supplier complaint,Supplier complaint,Supplier complaint,Supplier complaint,Supplier complaint,Supplier complaint,Supplier complaint,Supplier complaint,Supplier complaint,Supplier complaint,Supplier complaint
